,title,price,link
0,"REDMI 12 (Jade Black, 128 GB)","9,298",https://flipkart.com//redmi-12-jade-black-128-gb/p/itmdea120c991f35?pid=MOBGZF9PZHSZZSEA&lid=LSTMOBGZF9PZHSZZSEALYLJGH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGZF9PZHSZZSEA.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
1,"REDMI 12 5G (Moonstone Silver, 128 GB)","12,499",https://flipkart.com//redmi-12-5g-moonstone-silver-128-gb/p/itm6485286f96fb0?pid=MOBGS7JGZBZKPGGB&lid=LSTMOBGS7JGZBZKPGGBG2917R&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS7JGZBZKPGGB.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
2,"REDMI 12 (Moonstone Silver, 128 GB)","9,999",https://flipkart.com//redmi-12-moonstone-silver-128-gb/p/itm6722b15672602?pid=MOBGRMFK4CSR7GGH&lid=LSTMOBGRMFK4CSR7GGHHKEX2Z&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFK4CSR7GGH.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
3,"REDMI 12 5G (Pastel Blue, 128 GB)","12,499",https://flipkart.com//redmi-12-5g-pastel-blue-128-gb/p/itm78076aae16588?pid=MOBGS7K3BFTXMMGG&lid=LSTMOBGS7K3BFTXMMGGHGLY9K&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS7K3BFTXMMGG.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
4,"REDMI 12 5G (Jade Black, 128 GB)","12,499",https://flipkart.com//redmi-12-5g-jade-black-128-gb/p/itma9b37bec7de7e?pid=MOBGS7GYGUAJ4UYZ&lid=LSTMOBGS7GYGUAJ4UYZOAPCWA&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS7GYGUAJ4UYZ.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
5,"REDMI 12 5G (Pastel Blue, 256 GB)","13,999",https://flipkart.com//redmi-12-5g-pastel-blue-256-gb/p/itmb36e1b436cfa9?pid=MOBGS9T8EPYWHHSG&lid=LSTMOBGS9T8EPYWHHSGWFNAPH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS9T8EPYWHHSG.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
6,"REDMI 12 5G (Jade Black, 256 GB)","13,999",https://flipkart.com//redmi-12-5g-jade-black-256-gb/p/itm7389f9825ace3?pid=MOBGS9T6GHDKPSQD&lid=LSTMOBGS9T6GHDKPSQDZPC3JW&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGS9T6GHDKPSQD.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
7,"REDMI 12 (Jade Black, 128 GB)","9,499",https://flipkart.com//redmi-12-jade-black-128-gb/p/itm7b10fd42f78b2?pid=MOBGRMFKKDQ2A3V4&lid=LSTMOBGRMFKKDQ2A3V4XZOVEW&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFKKDQ2A3V4.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
8,"REDMI 12 (Moonstone Silver, 128 GB)","9,499",https://flipkart.com//redmi-12-moonstone-silver-128-gb/p/itme52e778c12701?pid=MOBGRMFK2MGRNG4Q&lid=LSTMOBGRMFK2MGRNG4QFZLVXT&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFK2MGRNG4Q.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
9,"REDMI 12 (Pastel Blue, 128 GB)","9,499",https://flipkart.com//redmi-12-pastel-blue-128-gb/p/itm48719506a7ceb?pid=MOBGRMFKKGYD9ETX&lid=LSTMOBGRMFKKGYD9ETX5KD9VL&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=2c02f314-2a8b-489f-aae3-ee6d28cb94a5.MOBGRMFKKGYD9ETX.SEARCH&ppt=sp&ppn=sp&ssid=t1pqu1q9gw0000001723731980960&qH=9b6bf0057c19bd94
